T,D,L,count,quality,cost,model_name
T6,D5,L3,0.0,0.0,0.0,gpt-oss-120b
T6,D6,L1,0.0,0.0,0.0,gpt-oss-120b
T6,D6,L2,0.0,0.0,0.0,gpt-oss-120b
T6,D6,L3,0.0,0.0,0.0,gpt-oss-120b
T6,D7,L1,0.0,0.0,0.0,gpt-oss-120b
T6,D7,L2,0.0,0.0,0.0,gpt-oss-120b
T6,D7,L3,0.0,0.0,0.0,gpt-oss-120b
T6,D8,L1,0.0,0.0,0.0,gpt-oss-120b
T6,D8,L2,0.0,0.0,0.0,gpt-oss-120b
T6,D8,L3,0.0,0.0,0.0,gpt-oss-120b
T6,D9,L1,0.0,0.0,0.0,gpt-oss-120b
T6,D9,L2,0.0,0.0,0.0,gpt-oss-120b
T6,D9,L3,0.0,0.0,0.0,gpt-oss-120b
T6,D10,L1,0.0,0.0,0.0,gpt-oss-120b
T6,D10,L2,0.0,0.0,0.0,gpt-oss-120b
T6,D10,L3,0.0,0.0,0.0,gpt-oss-120b
T7,D1,L1,0.0,0.0,0.0,gpt-oss-120b
T7,D1,L2,0.0,0.0,0.0,gpt-oss-120b
T7,D1,L3,0.0,0.0,0.0,gpt-oss-120b
T7,D2,L1,0.0,0.0,0.0,gpt-oss-120b
T7,D2,L2,0.0,0.0,0.0,gpt-oss-120b
T7,D2,L3,0.0,0.0,0.0,gpt-oss-120b
T7,D3,L1,0.0,0.0,0.0,gpt-oss-120b
T7,D3,L2,0.0,0.0,0.0,gpt-oss-120b
T7,D3,L3,0.5,0.415,0.0003797475,gpt-oss-120b
T7,D4,L1,0.0,0.0,0.0,gpt-oss-120b
T7,D4,L2,0.0,0.0,0.0,gpt-oss-120b
T7,D4,L3,0.0,0.0,0.0,gpt-oss-120b
T7,D5,L1,0.0,0.0,0.0,gpt-oss-120b
T7,D5,L2,0.0,0.0,0.0,gpt-oss-120b
T7,D5,L3,0.0,0.0,0.0,gpt-oss-120b
T7,D6,L1,0.0,0.0,0.0,gpt-oss-120b
T7,D6,L2,0.0,0.0,0.0,gpt-oss-120b
T7,D6,L3,0.0,0.0,0.0,gpt-oss-120b
T7,D7,L1,0.0,0.0,0.0,gpt-oss-120b
T7,D7,L2,0.0,0.0,0.0,gpt-oss-120b
T7,D7,L3,0.0,0.0,0.0,gpt-oss-120b
T7,D8,L1,0.0,0.0,0.0,gpt-oss-120b
T7,D8,L2,1.0,0.86,0.000978615,gpt-oss-120b
T7,D8,L3,0.5,0.415,0.0003797475,gpt-oss-120b
T7,D9,L1,2.0,1.4,0.0024175800000000003,gpt-oss-120b
T7,D9,L2,0.0,0.0,0.0,gpt-oss-120b
T7,D9,L3,0.0,0.0,0.0,gpt-oss-120b
T7,D10,L1,0.0,0.0,0.0,gpt-oss-120b
T7,D10,L2,0.0,0.0,0.0,gpt-oss-120b
T7,D10,L3,0.0,0.0,0.0,gpt-oss-120b
T8,D1,L1,0.0,0.0,0.0,gpt-oss-120b
T8,D1,L2,0.0,0.0,0.0,gpt-oss-120b
T8,D1,L3,0.0,0.0,0.0,gpt-oss-120b
T8,D2,L1,0.5,0.445,0.0007595775000000001,gpt-oss-120b
